skill,category
"HTML,CSS,Javascript,bootstrap",FrontEnd
"React.js,Node.js,Express.js, mongoDB",MernStack
"Android Studio, Java, Kotlin",App Development
"Python, Data Visualization",Data Analysis
"python,Machine learning, Data Visualization",DataScience
"Python Programming, DSA Python",Python
"Java Programming , DSA java",Java
"C++ programming, DSA C++",C++
"python ,Sciket learn, Tensorflow",Machine learning
"Python , Machine learning ,Deep learning ,NLP",AI
"PowerBI,Tableo",Visualization Tool
"AWS , IBM Cloud, Azure",Cloud service
"PHP,DBMS,java,python",Backend
"HTML,CSS,Javascript,bootstrap",FrontEnd
"React.js,Node.js,Express.js, mongoDB",MernStack
"Android Studio, Java, Kotlin",App Development
"Python, Data Visualization",Data Analysis
"python,Machine learning, Data Visualization",DataScience
"Python Programming, DSA Python",Python
"Java Programming , DSA java",Java
"C++ programming, DSA C++",C++
"python ,Sciket learn, Tensorflow",Machine learning
"Python , Machine learning ,Deep learning ,NLP",AI
"PowerBI,Tableo",Visualization Tool
"AWS , IBM Cloud, Azure",Cloud service
"PHP,DBMS,java,python",Backend
"HTML,CSS,Javascript,bootstrap",FrontEnd
"React.js,Node.js,Express.js, mongoDB",MernStack
"Android Studio, Java, Kotlin",App Development
"Python, Data Visualization",Data Analysis
"python,Machine learning, Data Visualization",DataScience
"Python Programming, DSA Python",Python
"Java Programming , DSA java",Java
"C++ programming, DSA C++",C++
"python ,Sciket learn, Tensorflow",Machine learning
"Python , Machine learning ,Deep learning ,NLP",AI
"PowerBI,Tableo",Visualization Tool
"AWS , IBM Cloud, Azure",Cloud service
"PHP,DBMS,java,python",Backend
"HTML,CSS,Javascript,bootstrap",FrontEnd
"React.js,Node.js,Express.js, mongoDB",MernStack
"Android Studio, Java, Kotlin",App Development
"Python, Data Visualization",Data Analysis
"python,Machine learning, Data Visualization",DataScience
"Python Programming, DSA Python",Python
"Java Programming , DSA java",Java
"C++ programming, DSA C++",C++
"python ,Sciket learn, Tensorflow",Machine learning
"Python , Machine learning ,Deep learning ,NLP",AI
"PowerBI,Tableo",Visualization Tool
"AWS , IBM Cloud, Azure",Cloud service
"PHP,DBMS,java,python",Backend
"HTML,CSS,Javascript,bootstrap",FrontEnd
"React.js,Node.js,Express.js, mongoDB",MernStack
"Android Studio, Java, Kotlin",App Development
"Python, Data Visualization",Data Analysis
"python,Machine learning, Data Visualization",DataScience
"Python Programming, DSA Python",Python
"Java Programming , DSA java",Java
"C++ programming, DSA C++",C++
"python ,Sciket learn, Tensorflow",Machine learning
"Python , Machine learning ,Deep learning ,NLP",AI
"PowerBI,Tableo",Visualization Tool
"AWS , IBM Cloud, Azure",Cloud service
"PHP,DBMS,java,python",Backend
"HTML,CSS,Javascript,bootstrap",FrontEnd
"React.js,Node.js,Express.js, mongoDB",MernStack
"Android Studio, Java, Kotlin",App Development
"Python, Data Visualization",Data Analysis
"python,Machine learning, Data Visualization",DataScience
"Python Programming, DSA Python",Python
"Java Programming , DSA java",Java
"C++ programming, DSA C++",C++
"python ,Sciket learn, Tensorflow",Machine learning
"Python , Machine learning ,Deep learning ,NLP",AI
"PowerBI,Tableo",Visualization Tool
"AWS , IBM Cloud, Azure",Cloud service
"PHP,DBMS,java,python",Backend
"HTML,CSS,Javascript,bootstrap",FrontEnd
"React.js,Node.js,Express.js, mongoDB",MernStack
"Android Studio, Java, Kotlin",App Development
"Python, Data Visualization",Data Analysis
"python,Machine learning, Data Visualization",DataScience
"Python Programming, DSA Python",Python
"Java Programming , DSA java",Java
"C++ programming, DSA C++",C++
"python ,Sciket learn, Tensorflow",Machine learning
"Python , Machine learning ,Deep learning ,NLP",AI
"PowerBI,Tableo",Visualization Tool
"AWS , IBM Cloud, Azure",Cloud service
"PHP,DBMS,java,python",Backend
"HTML,CSS,Javascript,bootstrap",FrontEnd
"React.js,Node.js,Express.js, mongoDB",MernStack
"Android Studio, Java, Kotlin",App Development
"Python, Data Visualization",Data Analysis
"python,Machine learning, Data Visualization",DataScience
"Python Programming, DSA Python",Python
"Java Programming , DSA java",Java
"C++ programming, DSA C++",C++
"python ,Sciket learn, Tensorflow",Machine learning
"Python , Machine learning ,Deep learning ,NLP",AI
"PowerBI,Tableo",Visualization Tool
"AWS , IBM Cloud, Azure",Cloud service
"PHP,DBMS,java,python",Backend
"HTML,CSS,Javascript,bootstrap",FrontEnd
"React.js,Node.js,Express.js, mongoDB",MernStack
"Android Studio, Java, Kotlin",App Development
"Python, Data Visualization",Data Analysis
"python,Machine learning, Data Visualization",DataScience
"Python Programming, DSA Python",Python
"Java Programming , DSA java",Java
"C++ programming, DSA C++",C++
"python ,Sciket learn, Tensorflow",Machine learning
"Python , Machine learning ,Deep learning ,NLP",AI
"PowerBI,Tableo",Visualization Tool
"AWS , IBM Cloud, Azure",Cloud service
"PHP,DBMS,java,python",Backend
"HTML,CSS,Javascript,bootstrap",FrontEnd
"React.js,Node.js,Express.js, mongoDB",MernStack
"Android Studio, Java, Kotlin",App Development
"Python, Data Visualization",Data Analysis
"python,Machine learning, Data Visualization",DataScience
"Python Programming, DSA Python",Python
"Java Programming , DSA java",Java
"C++ programming, DSA C++",C++
"python ,Sciket learn, Tensorflow",Machine learning
"Python , Machine learning ,Deep learning ,NLP",AI
"PowerBI,Tableo",Visualization Tool
"AWS , IBM Cloud, Azure",Cloud service
"PHP,DBMS,java,python",Backend
"HTML,CSS,Javascript,bootstrap",FrontEnd
"React.js,Node.js,Express.js, mongoDB",MernStack
"Android Studio, Java, Kotlin",App Development
"Python, Data Visualization",Data Analysis
"python,Machine learning, Data Visualization",DataScience
"Python Programming, DSA Python",Python
"Java Programming , DSA java",Java
"C++ programming, DSA C++",C++
"python ,Sciket learn, Tensorflow",Machine learning
"Python , Machine learning ,Deep learning ,NLP",AI
"PowerBI,Tableo",Visualization Tool
"AWS , IBM Cloud, Azure",Cloud service
"PHP,DBMS,java,python",Backend
"HTML,CSS,Javascript,bootstrap",FrontEnd
"React.js,Node.js,Express.js, mongoDB",MernStack
"Android Studio, Java, Kotlin",App Development
"Python, Data Visualization",Data Analysis
"python,Machine learning, Data Visualization",DataScience
"Python Programming, DSA Python",Python
"Java Programming , DSA java",Java
"C++ programming, DSA C++",C++
"python ,Sciket learn, Tensorflow",Machine learning
"Python , Machine learning ,Deep learning ,NLP",AI
"PowerBI,Tableo",Visualization Tool
